City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,kodiak,57.79,-152.4072,280.88,93,100,5.14,US,1727583680
162,siguatepeque,14.6,-87.8333,291.19,94,46,1.1,HN,1727583681
163,prado,-17.3411,-39.2208,295.54,90,13,2.85,BR,1727583683
164,san antonio,29.4241,-98.4936,299.74,43,0,2.06,US,1727583684
165,saipan,15.1355,145.701,305.54,70,75,3.6,MP,1727583685
166,mahina,-17.5065,-149.489,300.02,78,0,4.12,PF,1727583686
167,urangan,-25.3,152.9,296.83,59,42,9.99,AU,1727583687
168,cabo san lucas,22.8909,-109.9124,298.98,76,99,3.8,MX,1727582905
169,san patricio,28.017,-97.5169,297.12,68,0,2.58,US,1727583691
170,serenje,-13.2325,30.2352,289.31,53,10,1.35,ZM,1727583692
171,sao jose da coroa grande,-8.8978,-35.1478,297.64,83,65,5.35,BR,1727583693
172,las tablas,7.7667,-80.2833,297.69,99,100,3.22,PA,1727583694
173,qaqortoq,60.7167,-46.0333,276.18,89,55,1.45,GL,1727583695
174,guadalupe y calvo,26.1,-106.9667,285.31,49,5,3.89,MX,1727583696
175,bayanhongor,46.7167,100.1167,269.68,90,100,1.77,MN,1727583698
176,de haan,51.272,3.0429,279.25,87,0,1.03,BE,1727583699
177,marka,1.7159,44.7717,299.0,79,18,5.48,SO,1727583700
178,nagqu,31.5,92.0,279.52,74,100,2.28,CN,1727583701
179,kavaratti,10.5669,72.642,301.24,80,66,5.64,IN,1727583702
180,college,64.8569,-147.8028,278.4,80,20,0.0,US,1727583703
181,yoloten,37.2989,62.3597,290.1,19,99,3.29,TM,1727583704
182,aykhal,66.0,111.5,273.58,97,100,8.24,RU,1727583706
183,dryden,49.7833,-92.7503,288.31,55,20,2.06,CA,1727583707
184,keflavik,64.0049,-22.5624,279.39,93,100,6.69,IS,1727583708
185,ancud,-41.8697,-73.8203,283.33,93,100,6.95,CL,1727583709
186,mirriah,13.7073,9.1501,301.06,63,100,4.26,NE,1727583710
187,grootfontein,-19.5667,18.1167,289.91,42,0,3.09,NA,1727583711
188,yasnogorsk,54.4803,37.6975,289.66,44,74,6.76,RU,1727583712
189,ust-nera,64.5667,143.2,274.48,78,100,1.55,RU,1727583714
190,el calafate,-50.3408,-72.2768,273.18,67,11,3.39,AR,1727583715
191,burley,42.5357,-113.7928,297.13,23,0,5.14,US,1727583654
192,vorgashor,67.5833,63.95,282.57,91,100,5.62,RU,1727583717
193,la foa,-21.7108,165.8276,301.8,45,0,4.55,NC,1727583718
194,kolwezi,-10.7148,25.4667,291.2,35,30,1.65,CD,1727583719
195,francisco i. madero,29.7059,-107.8043,289.33,42,0,2.62,MX,1727583721
196,lihue,21.9789,-159.3672,299.92,72,20,6.69,US,1727583496
197,gebeit,21.0667,36.3167,300.41,28,76,2.21,SD,1727583723
198,georgetown,5.4112,100.3354,304.11,71,20,3.6,MY,1727583724
199,vernon,50.2581,-119.2691,287.46,64,100,1.03,CA,1727583602
200,bredasdorp,-34.5322,20.0403,282.85,66,55,8.71,ZA,1727583726
201,sao joao da barra,-21.6403,-41.0511,295.22,79,100,4.15,BR,1727583727
202,yuzhno-kurilsk,44.0306,145.8556,290.12,71,12,1.16,RU,1727583729
203,barabai,-2.5833,115.3833,309.07,40,64,1.64,ID,1727583730
204,sarupathar,26.1984,93.8094,300.22,88,100,1.37,IN,1727583731
205,howrah,22.5892,88.3103,305.15,74,20,3.6,IN,1727583732
206,norilsk,69.3535,88.2027,277.45,98,100,3.84,RU,1727583733
207,brookings,44.3114,-96.7984,293.77,45,0,2.7,US,1727583504
208,santo antonio de jesus,-12.9689,-39.2614,293.17,98,77,1.65,BR,1727583735
209,ghanzi,-21.5667,21.7833,291.74,27,31,4.68,BW,1727583736
210,balkashino,52.5167,68.7667,286.63,47,93,1.45,KZ,1727583738
211,kyzylorda,44.8528,65.5092,287.16,28,0,9.0,KZ,1727583739
212,bom sucesso,-21.0331,-44.7581,290.58,88,97,4.77,BR,1727583740
213,meadow lakes,61.6247,-149.6011,282.18,67,20,2.06,US,1727583741
214,saguenay,48.4168,-71.0657,285.61,94,100,2.57,CA,1727583742
215,suklayin,15.7574,121.5503,303.12,70,100,5.22,PH,1727583743
216,san luis,-33.295,-66.3356,290.22,43,5,2.14,AR,1727583744
217,ribeira grande,38.5167,-28.7,297.47,94,100,7.6,PT,1727583746
218,haiku-pauwela,20.9219,-156.3051,299.16,62,20,8.49,US,1727583747
219,praia da vitoria,38.7333,-27.0667,297.29,83,40,6.19,PT,1727583748
220,erdenet,49.0333,104.0833,274.57,48,96,5.04,MN,1727583749
221,west bay,19.3667,-81.4167,300.96,92,98,4.18,KY,1727583750
222,veraval,20.9,70.3667,300.01,82,100,2.34,IN,1727583751
223,targu secuiesc,46.0,26.1333,284.61,92,8,0.5,RO,1727583752
224,santo antonio,-6.3106,-35.4789,294.03,95,20,3.13,BR,1727583754
225,naze,28.3667,129.4833,301.66,85,100,3.16,JP,1727583755
226,north bend,43.4065,-124.2243,286.57,94,100,3.09,US,1727583605
227,minas de marcona,-15.2119,-75.1103,285.09,84,27,2.75,PE,1727583757
228,cuajinicuilapa,16.4667,-98.4167,297.17,98,100,1.57,MX,1727583759
229,tralee,52.2704,-9.7026,284.0,93,100,6.22,IE,1727583761
230,margate,51.3813,1.3862,284.74,68,31,3.41,GB,1727583762
231,arraial do cabo,-22.9661,-42.0278,294.97,76,100,3.95,BR,1727583763
232,luderitz,-26.6481,15.1594,286.33,79,76,4.23,NA,1727583764
233,ocean shores,46.9737,-124.1563,285.38,86,75,5.66,US,1727583765
234,kangding,30.0513,101.9603,294.51,78,100,2.27,CN,1727583766
235,bamboo flat,11.7,92.7167,304.2,74,40,1.03,IN,1727583767
236,myanaung,18.2833,95.3167,303.32,77,85,1.49,MM,1727583769
237,pierre,44.3683,-100.351,295.66,46,0,3.6,US,1727583770
238,abqaiq,25.9371,49.6776,302.41,31,39,2.67,SA,1727583771
239,port alfred,-33.5906,26.891,285.47,84,97,3.58,ZA,1727583773
240,takoradi,4.8845,-1.7554,297.45,91,89,2.61,GH,1727583774
241,uturoa,-16.7333,-151.4333,300.03,76,50,4.96,PF,1727583775
242,greymouth,-42.4667,171.2,283.47,85,97,0.7,NZ,1727583777
243,crane,31.3974,-102.3501,296.86,37,1,4.51,US,1727583778
244,hamilton,39.1834,-84.5333,292.27,96,100,3.6,US,1727583780
245,nemuro,43.3236,145.575,289.51,81,3,4.81,JP,1727583781
246,sinabang,2.4803,96.3801,301.04,78,71,0.86,ID,1727583784
247,ternate,0.8,127.4,303.04,69,63,4.28,ID,1727583785
248,kapuskasing,49.4169,-82.4331,285.2,100,0,1.03,CA,1727583786
249,sebin karahisar,40.2883,38.4236,288.0,35,0,1.86,TR,1727583787
250,al mindak,20.1588,41.2834,296.42,27,9,1.81,SA,1727583788
251,arzgir,45.3728,44.2206,290.01,55,0,10.23,RU,1727583789
252,phalaborwa,-23.943,31.1411,294.76,58,30,2.19,ZA,1727583790
253,cadale,2.7603,46.3222,298.93,82,69,5.5,SO,1727583792
254,tolanaro,-25.0319,46.9987,293.19,94,20,0.0,MG,1727583793
255,teluk nibung,3.001,99.8164,301.61,82,100,0.14,ID,1727583794
256,gobabis,-22.45,18.9667,285.94,42,2,4.08,NA,1727583795
257,isangel,-19.55,169.2667,299.09,71,32,5.37,VU,1727583796
258,quellon,-43.1167,-73.6167,282.1,96,100,3.6,CL,1727583797
259,nizhnyaya poyma,56.1622,97.1933,277.5,66,100,4.34,RU,1727583798
260,labytnangi,66.6572,66.4183,282.61,82,100,4.6,RU,1727583800
